english,nupe
how are you,ke we wo na o
thank you,kubetunyi
come here,be ba bo
i am fine,mi jin yebo
what is your name,ke yi sunna we yi o
good morning,ku be lazhin
good night,se lazhin
house,emi
yes,eh
no,ayi
person,eza
I am fine,mi jin yebo
school,makanta
farm,lati
hospital,asibiti
father,nda
mother,nna
egi,child
children,egizhi
heart,ekogi
tooth,yikan
tongue,gintara
gum,gikun
gland,zangi
throat,robo
oesophagus,eyigi
larynx,bere
trachea,yikpakpagi
pharynx,yikogi
lungs,yan fuka
fire,ena
moon,etswa
earth,yizhe
land,kin
light,bayetin
dark,bazhiko
sunsun,fruit
evening,lozun
water,nuwon
grass,finni
grass,ego
leaf,finni
cigban,tree
day,efo
beginning,eciaba
days,efozhi
years,eyazhi
seasons,kamizhi
dawn,fafa
daybreak,fugi
morning,lazhin
sunrise,yisakagi
noon,kangoro
afternoon,yigiditi
evening,lozun
sunset,lozunkagi
dusk,kpeshin
night,yeshi
midnight,sadu
deep night,sadugandu
habit,ali
character,ali
green,aliga
kindness,alheri
goodness,alheri
the muslim heaven,alijena
spirit or demon,alijenu
judge,alikali
agreement,alikawoli
promise,alikawoli
contract,alikawoli
convenant,alikawoli
pen,alikalami
pencil,alikalami
quill,alikalami
reed,alikalami
anything used for writing,alikalami
field grass,alikiangi
hooded cloak or cape,alikimba
blue and white striped cloth,alikinla
the last day,alikiyioma
salutation for the rank kpotun,aliman gorozo
destitute person,alimansaki
bullet,alisa
plague,aloba
onion,alubasa
trade cloth,alubota
islamic teacher,alufa
deceit,alugusu
to deceive,alugusu
disciple,aluhuma
follower,aluhuma
disciple,aluhuma
wheat,alukama
the koran,alukoranu
medicine said to bring riches,alukundi
hypocrite,alumafiki
disciple | devotee,"alumajri, alumazri"
scissors | shears,alumakashi
boasting | bragging,aluwashi
salutation for the rank sagi,aluwo aluwo matuwo
fraud | to defraud,aluzwalumi
but,ama
forced levy | an unlawful exaction,amana
veil ,amawoli
caterpillar covered with poisonous hairs,amadigi
amen,ami
friendship | confidence,aminci
sword belt,amila
forbidden | meat not killed in accordance with moslem law,amusa
this,ana
prophet,ana bi
christian,anasara
play | amusement | sport,anashewa nashewa
profit | advantage | use | benefit,anfani
drum ensemble originally deriving from lokoja,angale
already,ani
thus | so ,aninga
intention | desire | mind | purpose | diligence | zeal,aniya
long tubular beads,ankaka
silk or satin cloth,antele
vision | insight | enlightenment,anuri
slander | defamation,anyici
keenness,anzari
large borno ram,araara
that which is unlawful | that which is unjust,aramu
fifty,arata
bay,arashi
north,arewa
lend | loan | borrow,aro
bottled perfume,arodi
muslim ceremonial ablutions which precede prayer,arola
rhythm played on a drum to praise the magicians,arugbe
medicine generally,aruku
hulk,aruku
sneak,aruku
salutation to a man undergoing marriage ceremonies,arushi
bottled perfume,aruwodi
fat,arwatwa
exclamation of surprise,asa
parrot,asabaru
extra long-barrelled gun,asadi
repetition of the rosary,asalatu
loss| misfortune | adversity,asara
origin | beginning,asali
poison administered internally,asamu
salutation for the rank sagi,asango
exclamation of surprise,ase
saturday,asibi
light | brightness | reflection | shine | glitter,asike
reflect,asiri ashiri
secret,asiri
dawn,asuba
exclamation of surprise,ashe
exclamation of surprise,ashia
slander,ashiada
hope | expectation | to hope | to expect ,atama tama
cola nut type,atara
large chili pepper | less hot than the small type,atarubu
the mosaic low | ordinance | the pentateuch,ataura
very wealthy person,atazari
trade flint lock gun,atakoshi
monday,ateni
divination in the sand,ati
themselves,atso
dysentery,atu
bottled perfume,atushian
no,awa
mad | raving mad,awuka
verse in prose,aya
well,ayi
false charge or accusation | to accuse falsely | to bring a false charge against,ayibi
tree whose fruit is used for medicine,ayida
menstrual flow |  to menstruate,ayila
exclamation of delight,ayio
pain | suffering | torment,azaba
first muslim prayer after noon,aza fari
silver,azarufa
prosperity,aziki
palm leaf mat woven in fancy designs,azubi
ramadan fasting,azu azumi
fraud | double-dealing | to defraud,azwalumi
what,a
yes,a
to be sour | to be acid,ba
to be diligent | industrious | zealous,ba
to swing | sway | wag,ba
to cut | to hack,ba
to weep,ba giye
to tell a lie about someone,bawon taza
to please,ba
to stir | while adding flour to soup,ba
to stalk | walk slowly,ba
to cause | to make,ba
to press against,ba
to beg,ba
to count | to number,ba
bowl with a concave or hollow bottom,ba n gashi re
place | position | room | way | lit | has room,ba
defamation,ba
indeed | used only to emphasise a negative sentence,ba
asben horse,baazubi
river bank eroded by water that may fall at any time,baba
father,baba
dependent,babagi
salutation for the chief of mulia,babamumu
salutation for the rank nakoji,babarankashi
lump or block indigo,babari
her | sometimes contracted to,babo
where | whence,babo
bottle-gourd,babo
tree species,baboroci
tree species,baci
second,baci
formal visit of condolence,bada
to stalk | to walk slowly | to move stealthily,bada
bog | morass | quicksand,bada
large,badadada
exceedingly | very (large),badadadakoyi
rank conferred by the etsu,badeko
occult medicine,badufu
prepuce,badu
type of prayer,baduwa
to be cold ,bafe
tree species very fibrous,bafi
there | yonder,baga
everywhere,bagabagayi
rank held by the chief woodcarver ,bagba
man,bagi
to ear | to be in cob,bagi
salutation given to the etsu,bagadoji
equal,bagu
member of the body | a joint ,bagu bagu
to be close-fisted | to be stingy,bagwa
